Source Airport,Destination Count,Latitude,Longitude
OER,1,63.40829849243164,18.989999771118164
OSL,180,60.121,11.0502
POR,3,61.461700439453004,21.799999237061
TKU,8,60.514099121094,22.262800216675
TRF,37,59.1866989136,10.258600235
VBY,8,57.662799835205,18.346200942993
VHM,4,64.5791015625,16.833599090576172
VXO,7,56.929100036621094,14.727999687194824
ADQ,11,57.75,-152.4940033
KLN,1,57.535099029499996,-153.977996826
BSO,2,20.4513,121.980003
BXU,4,8.9515,125.4788
CBO,3,7.165239810943604,124.20999908447266
CGY,7,8.612203,124.456496
CRM,2,12.502400398254395,124.63600158691406
DGT,4,9.3337097168,123.30000305200001
DWC,48,24.896356,55.161389
GES,5,6.058000087740001,125.096000671
KLO,18,11.679400444,122.375999451
LGP,4,13.1575,123.735
MNL,193,14.5086,121.019997
MPH,4,11.9245,121.954002
OZC,4,8.178509712219237,123.84200286865234
PPS,9,9.742119789123537,118.75900268554688
RXS,3,11.597700119018555,122.7519989013672
SUG,3,9.755838325629998,125.480947495
TUG,3,17.6433676823,121.73315048200001
ZAM,6,6.922420024871826,122.05999755859376
AUX,4,-7.227869999999999,-48.240501
BRA,6,-12.078900337219238,-45.00899887084961
BSB,98,-15.86916732788086,-47.92083358764648
CAC,3,-25.0002994537,-53.5008010864
CGB,33,-15.6528997421,-56.1166992188
CGR,17,-20.468700408900002,-54.6725006104
DOU,3,-22.2019,-54.926601
GIG,98,-22.809999465900002,-43.2505569458
GRU,193,-23.435556411743164,-46.47305679321289
GYN,21,-16.631999969482422,-49.22069931030274
OPS,3,-11.885000228881836,-55.58610916137695
PLU,13,-19.851200103759766,-43.950599670410156
PMW,7,-10.2915000916,-48.3569984436
RAO,19,-21.136388778686523,-47.77666854858398
SJP,8,-20.8166007996,-49.40650177
SSA,58,-12.9086112976,-38.3224983215
UBA,4,-19.764722824097,-47.966110229491996
UDI,15,-18.883612,-48.225277
VDC,6,-14.8627996445,-40.8630981445
BRL,2,40.783199310302734,-91.12550354003906
DEC,2,39.83459854125977,-88.8656997680664
JBR,1,35.83169937133789,-90.64640045166016
ORD,558,41.9786,-87.9048
STL,114,38.748697,-90.370003
KTN,22,55.35559845,-131.7140045
MTM,3,55.131001,-131.578003
BCN,391,41.2971,2.0784599999999998
BJL,13,13.338000297546387,-16.65220069885254
CKY,18,9.576889999999999,-13.612
DLA,51,4.0060801506,9.71947956085
FNA,22,8.616439999999999,-13.1955
LGW,356,51.148102,-0.190278
LOS,60,6.5773701667785645,3.321160078048706
OXB,7,11.894800186157227,-15.65369987487793
ROB,16,6.23379,-10.3623
AKV,2,60.81859970092773,-78.14859771728516
XGR,1,58.71139907836914,-65.9927978515625
YGL,3,53.62530136108398,-77.7042007446289
YGW,7,55.281898498535156,-77.76529693603516
YIK,2,62.41730117797852,-77.92530059814453
YKG,3,60.027198791503906,-69.99919891357422
YKL,5,54.80530166625977,-66.8052978515625
YPH,3,58.471900939941406,-78.07689666748047
YPJ,3,59.29669952392578,-69.59970092773439
YPX,4,60.05059814453125,-77.28690338134766
YQB,28,46.7911,-71.393303
YQC,2,61.0463981628418,-69.6177978515625
YSK,3,56.537799835200005,-79.2466964722
YTQ,2,58.66780090332031,-69.95580291748047
YUD,3,56.53609848022461,-76.51830291748047
YUL,185,45.4706001282,-73.7407989502
YUY,5,48.20610046386719,-78.83560180664062
YVP,10,58.09609985351562,-68.42690277099611
YWB,2,61.5886001587,-71.929397583
YWK,16,52.92190170288086,-66.86440277099611
YZG,2,62.17940139770508,-75.66719818115234
YZV,22,50.22330093383789,-66.26560211181639
JIB,23,11.547300338745115,43.15950012207031
MGQ,10,2.014440059661865,45.3046989440918
NBO,130,-1.31923997402,36.9277992249
BKK,326,13.681099891662598,100.74700164794922
DRW,46,-12.41469955444336,130.87699890136722
HAK,108,19.93490028381348,110.45899963378906
HGH,252,30.22949981689453,120.43399810791016
HKG,355,22.308901000000002,113.915001
HKT,71,8.1132,98.316902
KIX,152,34.42729949951172,135.24400329589844
KUL,257,2.7455799579619997,101.70999908446998
PEN,42,5.297140121459961,100.2770004272461
PER,92,-31.94029998779297,115.96700286865234
PNH,29,11.546600341796875,104.84400177001952
REP,42,13.410699844400003,103.81300354
RGN,49,16.907300949099998,96.1332015991
SGN,109,10.8187999725,106.652000427
